,municipio,delito,trend
706,Juanacatlán,Allanamiento de morada_Allanamiento de morada,-0.07899202192545773
707,Juanacatlán,Allanamiento de morada,-0.07899202192545773
708,San Pedro Tlaquepaque,Homicidio_Homicidio doloso_Con arma blanca,-0.07999999999999996
709,Ixtlahuacán de los Membrillos,Daño a la propiedad_Daño a la propiedad_Daño a la propiedad,-0.08108108108108103
710,Zapopan,Daño a la propiedad_Daño a la propiedad,-0.0815025908292647
711,Zapopan,Daño a la propiedad,-0.0815025908292647
712,Juanacatlán,Otros delitos del Fuero Común,-0.08270055395977416
713,San Pedro Tlaquepaque,Otros delitos contra la familia,-0.08273757914928892
714,San Pedro Tlaquepaque,Otros delitos contra la familia_Otros delitos contra la familia,-0.08273757914928892
715,Zapopan,Abuso de confianza_Abuso de confianza_Abuso de confianza,-0.08766233766233766
716,Zapopan,Abuso de confianza_Abuso de confianza,-0.08766233766233766
717,Tonalá,Robo_Robo de vehículo automotor,-0.08870845914569725
718,Guadalajara,Narcomenudeo_Narcomenudeo_Narcomenudeo,-0.08940397350993379
719,Guadalajara,Narcomenudeo_Narcomenudeo,-0.08957937191783849
720,Guadalajara,Narcomenudeo,-0.08957937191783849
721,Zapotlanejo,Despojo,-0.09057759945456201
722,Zapotlanejo,Despojo_Despojo,-0.09057759945456201
723,Zapopan,Homicidio_Homicidio culposo,-0.09072129693784481
724,Tonalá,Daño a la propiedad_Daño a la propiedad_Daño a la propiedad,-0.09090909090909094
725,Zapopan,Lesiones_Lesiones culposas_Con otro elemento,-0.09090909090909094
726,Juanacatlán,Violación simple_Violación simple,-0.09231552972080981
727,Juanacatlán,Violación simple,-0.09231552972080981
728,Juanacatlán,Homicidio,-0.09374469185736778
729,Tonalá,Lesiones_Lesiones dolosas_Con arma de fuego,-0.09411764705882353
730,Guadalajara,Homicidio_Homicidio doloso,-0.09546340208152293
731,Tonalá,Amenazas_Amenazas_Amenazas,-0.0960099750623441
732,Guadalajara,Otros delitos contra la familia_Otros delitos contra la familia_Otros delitos contra la familia,-0.09615384615384615
733,Guadalajara,Otros delitos contra la familia_Otros delitos contra la familia,-0.09624703585568628
734,Guadalajara,Otros delitos contra la familia,-0.09624703585568628
735,Zapopan,Robo_Robo de vehículo automotor_Robo de motocicleta Con violencia,-0.09677419354838712
736,Zapotlanejo,Robo_Otros robos,-0.09708861357574639
737,Tonalá,Daño a la propiedad,-0.09845998008168466
738,Tonalá,Daño a la propiedad_Daño a la propiedad,-0.09845998008168466
739,Tlajomulco de Zúñiga,Otros delitos que atentan contra la libertad personal_Otros delitos que atentan contra la libertad personal_Otros delitos que atentan contra la libertad personal,-0.09999999999999998
